CRID,Involved_Officer,FOIA_Request_Number,Report_Produced_Date
1043407,"GLAZEWSKI, JOHN",FOIA 15-6588,2016-01-12
1042968,"BARR, KREIGHTON",FOIA 15-6588,2016-01-12
1042968,"FORD, BRYAN",FOIA 15-6588,2016-01-12
1042684,"KILROY, KEVIN",FOIA 15-6588,2016-01-12
1042670,"BYRNE, JOSEPH",FOIA 15-6588,2016-01-12
1042670,"DAVIS, TIMOTHY",FOIA 15-6588,2016-01-12
1042670,"EWING, DEAN",FOIA 15-6588,2016-01-12
1042670,"JACKSON, ERIC",FOIA 15-6588,2016-01-12
1042670,"PORTIS, VICTOR",FOIA 15-6588,2016-01-12
1042670,"SKARUPINSKI, CHRIS",FOIA 15-6588,2016-01-12
1042161,"LITTLE, ELLIS",FOIA 15-6588,2016-01-12
1042150,"GREGOIRE, JOHN",FOIA 15-6588,2016-01-12
1041658,"MENDOZA, MARIO",FOIA 15-6588,2016-01-12
1041530,"BARNES, GREGORY",FOIA 15-6588,2016-01-12
1041448,"RAINES, THOMAS",FOIA 15-6588,2016-01-12
1041156,"HERNANDEZ, DAVID",FOIA 15-6588,2016-01-12
1040789,"BLANDEN, JAMES",FOIA 15-6588,2016-01-12
1040530,"CASALES JR, RAUL",FOIA 15-6588,2016-01-12
1040500,"BLACKMAN, DANIEL",FOIA 15-6588,2016-01-12
1040500,"JOHNSON, MATTHEW",FOIA 15-6588,2016-01-12
1040303,"GAETA, JAIME",FOIA 15-6588,2016-01-12
1040141,"HUSIC, ESNAF",FOIA 15-6588,2016-01-12
1039783,"DESAI, RISHI",FOIA 15-6588,2016-01-12
1039742,"DAVIS, TIAWANSA",FOIA 15-6588,2016-01-12
1039718,"KRAMER, DANIEL",FOIA 15-6588,2016-01-12
1039564,"POL, PETER",FOIA 15-6588,2016-01-12
1038942,"SPRADLEY, ERNEST",FOIA 15-6588,2016-01-12
1038942,"SURVILLION, ALLEN",FOIA 15-6588,2016-01-12
1038165,"TULLY, MARTIN",FOIA 15-6588,2016-01-12
1038081,"SPRADLEY, ERNEST",FOIA 15-6588,2016-01-12
1038081,"SURVILLION, ALLEN",FOIA 15-6588,2016-01-12
1037944,"NYKIEL, CRAIG",FOIA 15-6588,2016-01-12
1037944,"SAMPIM, SAHARAT",FOIA 15-6588,2016-01-12
1037944,"VO, KELLY",FOIA 15-6588,2016-01-12
1037696,"QUADRI, SYED",FOIA 15-6588,2016-01-12
1037696,"SANTIAGO, JOHNNY",FOIA 15-6588,2016-01-12
1037491,"ROSE IV, ADAM",FOIA 15-6588,2016-01-12
1037048,"WALTER, SAJIT",FOIA 15-6588,2016-01-12
1036645,"BALLAUER, JAMES",FOIA 15-6588,2016-01-12
1036645,"JOHNSON, WILLIAM",FOIA 15-6588,2016-01-12
1036645,"STANULA, KEVIN",FOIA 15-6588,2016-01-12
1036573,"SANDOVAL, PAUL",FOIA 15-6588,2016-01-12
1036478,"ANTONSEN, RICHARD",FOIA 15-6588,2016-01-12
1036068,"WOODS, JAMES",FOIA 15-6588,2016-01-12
1035879,"COLBENSON, DANIEL",FOIA 15-6588,2016-01-12
1035618,"MCKENDRY, KEVIN",FOIA 15-6588,2016-01-12
1035618,"PASSARELLI, DANIEL",FOIA 15-6588,2016-01-12
1035581,"OSHAUGHNESSY, THOMAS",FOIA 15-6588,2016-01-12
1035510,"DEVEREUX, GEORGE",FOIA 15-6588,2016-01-12
1035510,"MURTAUGH, JOSEPH",FOIA 15-6588,2016-01-12
1034911,"LACKO, ELIAS",FOIA 15-6588,2016-01-12
1034911,"SHAVERS JR, ISAAC",FOIA 15-6588,2016-01-12
1034833,"PROANO, MARCO",FOIA 15-6588,2016-01-12
1034831,"BROWN, CORNELIUS",FOIA 15-6588,2016-01-12
1034829,"KEY, MICHAEL",FOIA 15-6588,2016-01-12
1034629,"GODSEL, DANIEL",FOIA 15-6588,2016-01-12
1033946,"IZA, FRANCISCO",FOIA 15-6588,2016-01-12
1033946,"LOPEZ, ANGEILLY",FOIA 15-6588,2016-01-12
1033838,"FUENTES, HECTOR",FOIA 15-6588,2016-01-12
1033838,"WAHRER, DANIELLE",FOIA 15-6588,2016-01-12
1033463,"SHACKLETON, JAMES",FOIA 15-6588,2016-01-12
1033463,"VOGLER, JASON",FOIA 15-6588,2016-01-12
1033392,"DAHLBERG, JOHN",FOIA 15-6588,2016-01-12
1033386,"LANDRUM, JASON",FOIA 15-6588,2016-01-12
1033323,"BABICZ, ANTHONY",FOIA 15-6588,2016-01-12
1033323,"HOMER, JUSTIN",FOIA 15-6588,2016-01-12
1033295,"HELSEL, JOHN",FOIA 15-6588,2016-01-12
1033295,"TUTTLE, KEVIN",FOIA 15-6588,2016-01-12
1033037,"MEDENICA, BOGDAN",FOIA 15-6588,2016-01-12
1032946,"GROBLA, MAREK",FOIA 15-6588,2016-01-12
1032946,"HUGHES, GARY",FOIA 15-6588,2016-01-12
1032578,"OLSON, GARY",FOIA 15-6588,2016-01-12
1032509,"NIGRO, RICK",FOIA 15-6588,2016-01-12
1032469,"SIERRA, GILDARDO",FOIA 15-6588,2016-01-12
1032464,"GRUBE, PATRICK",FOIA 15-6588,2016-01-12
1032418,"GARLINGTON, CONWAY",FOIA 15-6588,2016-01-12
1032320,"FORD, ARTHELIA",FOIA 15-6588,2016-01-12
1032086,"JERRY, DERRICK",FOIA 15-6588,2016-01-12
1032086,"KINNEY, DAVID",FOIA 15-6588,2016-01-12
1032064,"HARVEY, GARRICK",FOIA 15-6588,2016-01-12
1031817,"MURPHY, BRANDON",FOIA 15-6588,2016-01-12
1031736,"PLANICA, JOHN",FOIA 15-6588,2016-01-12
1031698,"BOUCH, MATTHEW",FOIA 15-6588,2016-01-12
1031698,"GALLAGHER, JAMES",FOIA 15-6588,2016-01-12
1031698,"HANRAHAN, THOMAS",FOIA 15-6588,2016-01-12
1031698,"MCGRORY, MATTHEW",FOIA 15-6588,2016-01-12
1031698,"MCHALE, BRIAN",FOIA 15-6588,2016-01-12
1031698,"MURPHY, JOHN",FOIA 15-6588,2016-01-12
1031698,"SZNURA, PAUL",FOIA 15-6588,2016-01-12
1031678,"OKEEFE, DENIS",FOIA 15-6588,2016-01-12
1031529,"UTRERAS, EDWIN",FOIA 15-6588,2016-01-12
1031278,"O HARA, MARK",FOIA 15-6588,2016-01-12
1031239,"BIELECKI, LEE",FOIA 15-6588,2016-01-12
1031239,"CRISP, JERRY",FOIA 15-6588,2016-01-12
1031073,"SMITH, KEITH",FOIA 15-6588,2016-01-12
1030856,"MARKUS, DANIEL",FOIA 15-6588,2016-01-12
1030856,"STILES, LAURENCE",FOIA 15-6588,2016-01-12
1030790,"PEREZ, JOSEPH",FOIA 15-6588,2016-01-12
1030790,"SANTIAGO, JUAN",FOIA 15-6588,2016-01-12
1030739,"GRIFFIN, LAURA",FOIA 15-6588,2016-01-12
1030739,"LECLAIR, RYAN",FOIA 15-6588,2016-01-12
1030739,"PARKS, PAUL",FOIA 15-6588,2016-01-12
1030511,"SMITH, MARTIN",FOIA 15-6588,2016-01-12
1030507,"STEVENS, MICHAEL",FOIA 15-6588,2016-01-12
1030298,"WYSINGER, BERNARD",FOIA 15-6588,2016-01-12
1030271,"PATTERSON, ALFIE",FOIA 15-6588,2016-01-12
1030040,"MENDOZA, MARK",FOIA 15-6588,2016-01-12
1029584,"MAGALLON, RAFAEL",FOIA 15-6588,2016-01-12
1029257,"DOYLE, STEPHANIE",FOIA 15-6588,2016-01-12
1029257,"SCHERR, HEATHER",FOIA 15-6588,2016-01-12
1029215,"RENDON JR, ARNOLDO",FOIA 15-6588,2016-01-12
1028954,"MULLANE, KEVIN",FOIA 15-6588,2016-01-12
1028954,"STRZALKA, NOREEN",FOIA 15-6588,2016-01-12
1028603,"COSENTINO, MICHAEL",FOIA 15-6588,2016-01-12
1028571,"OLIVER, MELVIN",FOIA 15-6588,2016-01-12
1028191,"CONRAD, BRIAN",FOIA 15-6588,2016-01-12
1028135,Unknown,FOIA 15-6588,2016-01-12
1027916,"ARCHER, STEVEN",FOIA 15-6588,2016-01-12
1027910,"MOHAMMAD, HAYTHAM",FOIA 15-6588,2016-01-12
1027200,"PACINO, ANTHONY",FOIA 15-6588,2016-01-12
1026983,"SWAYZER, TIMOTHY",FOIA 15-6588,2016-01-12
1026826,"OHLICHER, JON",FOIA 15-6588,2016-01-12
1026769,"CARDENAS, JUAN",FOIA 15-6588,2016-01-12
1026769,"GROSS, FRED",FOIA 15-6588,2016-01-12
1026564,"FRANO, JOHN",FOIA 15-6588,2016-01-12
1026484,"CORBETT, JOSEPH",FOIA 15-6588,2016-01-12
1026464,"NICHOLS, JAMES",FOIA 15-6588,2016-01-12
1026343,"SHAAR, KHALED",FOIA 15-6588,2016-01-12
1026326,"FOSTER, MARK",FOIA 15-6588,2016-01-12
1025792,"PITTMAN, RONALD",FOIA 15-6588,2016-01-12
1025463,"SPRADLEY, ERNEST",FOIA 15-6588,2016-01-12
1025361,"DERCOLA, MATT",FOIA 15-6588,2016-01-12
1025340,"PRYOR, CARLENA",FOIA 15-6588,2016-01-12
1024877,"CRISP, JERRY",FOIA 15-6588,2016-01-12
1024877,"HALEEM, MAHMOUD",FOIA 15-6588,2016-01-12
1024818,"PELLERANO, RICHARD",FOIA 15-6588,2016-01-12
1023536,"HOPKINS, TERRY",FOIA 15-6588,2016-01-12
1023339,"FARY, TIMOTHY",FOIA 15-6588,2016-01-12
1023332,"FARY, TIMOTHY",FOIA 15-6588,2016-01-12
1023288,"SORAGHAN, PETER",FOIA 15-6588,2016-01-12
1023283,"PANICO, MICHAEL",FOIA 15-6588,2016-01-12
1023199,"GLADNEY, ALISA",FOIA 15-6588,2016-01-12
1022953,"THORNTON JR, JOHN",FOIA 15-6588,2016-01-12
1022755,"MCVEY, BRIAN",FOIA 15-6588,2016-01-12
1022668,"LEWIS, SEAN",FOIA 15-6588,2016-01-12
1022668,"RIVERA, RICKY",FOIA 15-6588,2016-01-12
1022668,"TRUHLAR, JEFF",FOIA 15-6588,2016-01-12
1021927,"BURG, PAUL",FOIA 15-6588,2016-01-12
1021927,"MULDOON, MICHAEL",FOIA 15-6588,2016-01-12
1020929,"YUSUF, MOHAMMAD",FOIA 15-6588,2016-01-12
1020710,"MORRISSEY, MARGARET",FOIA 15-6588,2016-01-12
1020565,"LEWIS, SEAN",FOIA 15-6588,2016-01-12
1020565,"RIVERA, RICKY",FOIA 15-6588,2016-01-12
1020527,"OCONNOR, MICHAEL",FOIA 15-6588,2016-01-12
1020364,"MACON, DARIN",FOIA 15-6588,2016-01-12
1020165,"FAHEY JR, PATRICK",FOIA 15-6588,2016-01-12
1019444,"LONDON, SYLSHINA",FOIA 15-6588,2016-01-12
1019355,"ROMERO, RUBEN",FOIA 15-6588,2016-01-12
1019321,"WILLIAMS, DWAYNE",FOIA 15-6588,2016-01-12
